# Imported from job-automation/companies.yaml
# slug,ats[,tier]  |  workday: slug,workday,tier,wd_host,wd_site
#                  |  oracle: slug,oracle,tier,site
clariness,greenhouse,target
contentful,greenhouse,target
continental,smartrecruiters,target
cosuno,ashby,target
covestro,workday,target,wd3,cov_external
crewmeister,greenhouse,target
crytek,lever,target
reply,lever,target
dataguard,ashby,target
DeepL,ashby,target
deliveryhero,smartrecruiters,target
kiongroup,workday,target,wd3,KION_SCS
dkbcodefactory,greenhouse,target
dxctechnology,workday,target,wd1,DXCJobs
eon,ashby,target
emnify,greenhouse,target
enmacc,greenhouse,target
clarioclinical,workday,target,wd1,clarioclinical_careers
evmos,greenhouse,target
factor-eleven,ashby,target
finn,lever,target
flaconi,greenhouse,target
flip,greenhouse,target
flix,greenhouse,target
forto,ashby,target
freenow,greenhouse,target
gamigo,workable,target
getyourguide,greenhouse,target
gigs,greenhouse,target
bettermile,ashby,target
gotphoto,ashby,target
hawk,ashby,target
hellofresh,greenhouse,target
idnow,greenhouse,target
impossiblecloud,lever,target
ionos,greenhouse,target
relx,workday,target,wd3,LexisNexisLegal
isaraerospace,greenhouse,target
justdice,ashby,target
justtrack,ashby,target
justwatch,lever,target
kinexon,greenhouse,target
klim,ashby,target
kolibrigames,lever,target
labtwin,workable,target
lanesplanes,greenhouse,target
Leapsome,ashby,target
lemon-markets,ashby,target
meshcapade,lever,target
n26,greenhouse,target
n8n,workable,target
navvis,greenhouse,target
novartis,workday,target,wd3,Internal_Careers_for_Acquired_Entities
omio,smartrecruiters,target
orbem,ashby,target
paradoxcatgmbh,greenhouse,target
parloa,greenhouse,target
payrails,ashby,target
perpetualabs,lever,target
picnic,smartrecruiters,target
propharmagroup,workday,target,wd1,ppgcareers
proxima-fusion,ashby,target
qonto,lever,target
quantco-,lever,target
raisin,greenhouse,target
redbull,smartrecruiters,target
reonic,ashby,target
robertbosch,smartrecruiters,target
roche,workday,target,wd3,roche-ext
rocketinternet,smartrecruiters,target
sartorius,workday,target,wd3,sartoriuscareers
ScalableGmbH,smartrecruiters,target
schrdinger,greenhouse,target
sensmore,ashby,target
sevensenders,smartrecruiters,target
simscale,greenhouse,target
sixt,smartrecruiters,target
sosafe,ashby,target
charles,greenhouse,target
springernature,workday,target,wd3,SpringerNatureCareers
stackfuel,ashby,target
stepstone,greenhouse,target
stryker,workday,target,wd1,StrykerCareers
sumup,greenhouse,target
Sunday-GmbH,ashby,target
talonone,greenhouse,target
trivago,greenhouse,target
trustyou,lever,target
Uberall,ashby,target
ultimate,greenhouse,target
upvest,ashby,target
vattenfall,smartrecruiters,target
vay,greenhouse,target
vestiairecollective,lever,target
vivenu,lever,target
wemolo,ashby,target
wooga,greenhouse,target
wunderflats,greenhouse,target
Zalando,smartrecruiters,target
bookingcom,greenhouse,target
adyen,greenhouse,target
mollie,lever,target
TomTom,smartrecruiters,target
wolt,greenhouse,target
supercell,greenhouse,target
reaktor,lever,target
smartly,lever,target
spotify,lever,target
klarna,lever,target
king,greenhouse,target
einride,lever,target
typeform,lever,target
cabify,lever,target
glovo,lever,target
factorial,lever,target
alan,lever,target
blablacar,lever,target
contentsquare,lever,target
doctolib,lever,target
